time,H1,L1
1420878138.3674517,-6.475002277104242e-23,3.634793420064392e-22
1420878138.3676958,-1.659430415126049e-22,1.3021587839491314e-22
1420878138.36794,-9.916389034809989e-23,-2.8715704166043854e-22
1420878138.368184,1.1874310028085572e-22,2.3103344203884404e-22
1420878138.3684282,-3.30296523254563e-22,-1.776446124022681e-22
1420878138.3686724,-3.6093823949519927e-23,2.723370161697375e-22
1420878138.3689165,-2.781233427382845e-22,-9.354614412006238e-23
1420878138.3691607,2.526337348051463e-22,9.897352809228687e-23
1420878138.3694048,-1.7131685488449634e-22,-5.604687427131244e-23
1420878138.369649,1.856781260718628e-22,1.9971360843352027e-22
1420878138.369893,-1.7178365588497463e-22,-1.2270080812924846e-22
1420878138.3701372,4.2329162783615185e-22,5.644740585004462e-23
1420878138.3703814,-3.5713391881968063e-22,-1.6807464940231893e-23
1420878138.3706255,1.2731939560828416e-22,1.4866544619215894e-22
1420878138.3708696,5.1929898720148557e-23,-1.5677747367386101e-22
1420878138.3711138,-2.1378238302803416e-22,4.949108948458427e-22
1420878138.371358,1.8259625534294713e-22,-4.0631621243456626e-22
1420878138.371602,-2.867191249665889e-22,1.5915328514007977e-22
1420878138.3718462,-3.61477213004301e-23,1.3749250715016086e-22
1420878138.3720903,-1.7950327763435534e-23,-2.774189252192781e-23
1420878138.3723345,1.3886482498771064e-22,-4.9838478229142924e-23
1420878138.3725786,-1.5775769535370398e-22,3.460177048510581e-22
1420878138.3728228,-1.0314238116400517e-22,-1.5901339553509647e-22
1420878138.373067,1.333180451605694e-22,1.0135498664768938e-22
1420878138.373311,1.1283896499526829e-23,1.2444185851554732e-22
1420878138.3735552,2.3566269610701693e-24,1.1463662227016585e-22
1420878138.3737993,1.2731989330638623e-22,6.255052821063706e-23
1420878138.3740435,-4.885017755584606e-23,1.3347322854054808e-22
1420878138.3742876,1.7774525663938057e-22,-2.2181114766382265e-22
1420878138.3745317,1.4496795446335923e-25,9.339504325799363e-23
1420878138.374776,3.406367446741506e-22,-2.045262419881577e-22
1420878138.37502,3.54432948038111e-22,4.960962817239913e-23
1420878138.3752642,-1.394777108493804e-23,1.6413994889457137e-22
1420878138.3755083,2.6395017924357096e-22,-6.165538504859075e-23
1420878138.3757524,-1.2786258903936376e-22,9.551207382349486e-23
1420878138.3759966,-5.714954957215666e-23,1.410210598501324e-22
1420878138.3762407,2.100361357700411e-22,-1.8777085008230672e-22
1420878138.3764849,3.320470767315421e-22,1.0486183269574172e-22
1420878138.376729,9.383754077386655e-23,-1.311077347537925e-23
1420878138.3769732,2.0288750944515622e-22,3.121735909067038e-23
1420878138.3772173,1.1522892416766364e-22,6.394333850421583e-23
1420878138.3774614,4.1471729665257644e-23,-9.129494633246051e-23
1420878138.3777056,2.482208430861761e-22,-1.8962808834328711e-22
1420878138.3779497,1.8815871714567046e-22,-3.4108805851228984e-23
1420878138.3781939,1.9948181946613337e-22,-1.4973146130548335e-22
1420878138.378438,8.701733284280128e-23,-1.523303909205378e-22
1420878138.3786821,2.128384799492853e-22,1.776157483065007e-22
1420878138.3789263,-9.865624014854851e-23,-1.6596979144147944e-23
1420878138.3791704,3.172637006193583e-22,2.87180716474564e-22
1420878138.3794146,-2.7138529351133814e-22,-3.7649751662181245e-22
1420878138.3796587,6.361307505052303e-22,2.745538435360664e-22
1420878138.3799028,7.98870214296307e-23,7.362047833604089e-23
1420878138.380147,2.9573045584024943e-22,-6.2549399976544e-23
1420878138.3803911,1.962015984352304e-23,2.844095552853392e-22
1420878138.3806353,-8.485663455320803e-23,-5.257918902430919e-23
